Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/shaxpy/IMG/robocam_2020_08_29_11_51_08_264.jpg;0;0;0;0;103.5318;85.94624;0.0002344752;267.8409;-3.860413E-06
/home/shaxpy/IMG/robocam_2020_08_29_11_51_08_329.jpg;0;0;0;0;103.5318;85.94624;0.0002343761;267.8409;1.39803E-06
/home/shaxpy/IMG/robocam_2020_08_29_11_51_08_389.jpg;0;0;0;0;103.5318;85.94624;0.0002342779;267.8409;6.609794E-06
/home/shaxpy/IMG/robocam_2020_08_29_11_51_08_461.jpg;0;0;0;0;103.5318;85.94624;0.0002341698;267.8409;1.234507E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_08_528.jpg;0;0;0;0;103.5318;85.94624;0.0002341377;267.8409;1.404898E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_08_589.jpg;0;0;0;0;103.5318;85.94624;0.000234112;267.8409;1.541277E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_08_656.jpg;0;0;0;0;103.5318;85.94624;0.0002345206;267.8409;1.638781E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_08_728.jpg;0;0;0;0;103.5318;85.94624;0.000235362;267.8409;1.705411E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_08_789.jpg;0;0;0;0;103.5318;85.94624;0.0002360022;267.8409;1.706284E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_08_861.jpg;0;0;0;0;103.5318;85.94624;0.000236868;267.8409;1.643204E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_08_930.jpg;0;0;0;0;103.5318;85.94624;0.0002375263;267.8409;1.548712E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_08_995.jpg;0;0;0;0;103.5318;85.94624;0.0002381919;267.8409;1.415206E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_062.jpg;0;0;0;0;103.5318;85.94624;0.000239089;267.8409;1.186403E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_128.jpg;0;0;0;0;103.5318;85.94624;0.0002397481;267.8409;1.087242E-05
Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_194.jpg;0;0;0;0;103.5318;85.94624;0.0002403723;267.8409;1.173477E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_261.jpg;0;0;0;0;103.5318;85.94624;0.0002412291;267.8409;1.15808E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_329.jpg;0;0;0;0;103.5318;85.94624;0.0002416671;267.8409;1.099531E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_395.jpg;0;0;0;0;103.5318;85.94624;0.0002416625;267.8409;1.124206E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_462.jpg;0;0;0;0;103.5318;85.94624;0.0002416611;267.8409;1.131542E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_529.jpg;0;0;0;0;103.5318;85.94624;0.0002416637;267.8409;1.117871E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_594.jpg;0;0;0;0;103.5318;85.94624;0.0002416694;267.8409;1.087527E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_660.jpg;0;0;0;0;103.5318;85.94624;0.0002416819;267.8409;1.020838E-05
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_728.jpg;0;0;0;0;103.5318;85.94624;0.0002416947;267.8409;9.534817E-06
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_794.jpg;0;0;0;0;103.5318;85.94624;0.0002417101;267.8409;8.71454E-06
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_861.jpg;0;0;0;0;103.5318;85.94624;0.0002417343;267.8409;7.427438E-06
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_928.jpg;0;0;0;0;103.5318;85.94624;0.0002411148;267.8409;6.318334E-06
/home/shaxpy/IMG/robocam_2020_08_29_11_51_09_998.jpg;0;0;0;0;103.5318;85.94624;0.0002402915;267.8409;4.695039E-06
/home/shaxpy/IMG/robocam_2020_08_29_11_51_10_062.jpg;0;0;0;0;103.5318;85.94624;0.0002396756;267.8409;3.389204E-06
/home/shaxpy/IMG/robocam_2020_08_29_11_51_10_127.jpg;0;0;0;0;103.5318;85.94624;0.0002390608;267.8409;2.030017E-06
/home/shaxpy/IMG/robocam_2020_08_29_11_51_10_194.jpg;0;0;0;0;103.5318;85.94624;0.0002384466;267.8409;6.374874E-07
/home/shaxpy/IMG/robocam_2020_08_29_11_51_10_262.jpg;0;0;0;0;103.5318;85.94624;0.0002376281;267.8409;-1.245896E-06
/home/shaxpy/IMG/robocam_2020_08_29_11_51_10_328.jpg;0;0;0;0;103.5318;85.94624;0.0002370142;267.8409;-2.648432E-06
